request_id,pred_status,gt_status,pred_amount,gt_amount,error_category,category_desc
req_0439b123,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_119ecdf7,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e9555c78,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a03059e8,affordable_now,,5795.0,0.0,C,recurring-expense forecasting
req_441b31cd,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f1a8b725,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_ac7d1090,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_19837e05,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_051689c2,affordable_now,,14259.0,0.0,C,recurring-expense forecasting
req_fcde92ab,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_bce28f95,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1e8b3526,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a3004707,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_410a78ad,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_c96319f0,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_db45d25f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8a4ca745,affordable_now,,6732.0,0.0,C,recurring-expense forecasting
req_42e661ac,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_99be653d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_93de20db,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_63d4a454,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8275bc38,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_5b812878,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_5bc17c6e,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_3e28d451,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a1f1dbf1,affordable_now,,15773.0,0.0,C,recurring-expense forecasting
req_251374eb,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d5e079dc,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_87ad75a4,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_ff384921,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_674ddcb7,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_52205018,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a66ec715,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_9f603b0a,affordable_now,,12085.0,0.0,C,recurring-expense forecasting
req_053a4ff3,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_38655991,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_dd21900d,affordable_now,,7099.0,0.0,C,recurring-expense forecasting
req_4daac5a2,affordable_now,,7957.0,0.0,C,recurring-expense forecasting
req_a0e77297,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_af4f83da,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_756828f3,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8f1a0b2d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8e170774,affordable_now,,4422.0,0.0,C,recurring-expense forecasting
req_6ba4c33b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_5c1d52bb,affordable_now,,12069.0,0.0,C,recurring-expense forecasting
req_9c1dd073,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_fdc0efc8,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1d43c726,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8b3e15a4,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_bc6d69b3,affordable_now,,14785.0,0.0,C,recurring-expense forecasting
req_684cbd35,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_6ff86d98,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_54f9164c,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_ff552d07,affordable_now,,17641.0,0.0,C,recurring-expense forecasting
req_34e4d122,affordable_now,,13454.0,0.0,C,recurring-expense forecasting
req_ff29e3b2,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_b684a3ea,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_fa8413aa,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_fc64eff6,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f497ae43,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d4bbca9c,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_26073058,affordable_now,,5628.0,0.0,C,recurring-expense forecasting
req_dafe5a0c,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_0a26be7f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_22cce2c8,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_5fb3994a,affordable_now,,3078.0,0.0,C,recurring-expense forecasting
req_d6e17654,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_dbf0ec8a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_244c4dd6,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_562f1f17,affordable_now,,6124.0,0.0,C,recurring-expense forecasting
req_1dbd281a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_70eb3a19,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f3bc87f1,not_affordable,,0.0,0.0,C,recurring-expense forecasting
